rank,priority_score,provider,normalized_id,doi,openalex_id,arxiv_id,s2_paper_id,external_id_sample,citing_paper_count,high_value_categories,evidence_gap_reasons,top_citing_papers,top_citing_titles,provider_backfill_strategy,claim_scope,evidence_grade,uncertainty_reasons_json
1594,992.0,openalex,W2089523877,,W2089523877,,,W2089523877,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1595,992.0,openalex,W2093699506,,W2093699506,,,W2093699506,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1596,992.0,openalex,W2110466634,,W2110466634,,,W2110466634,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1597,992.0,openalex,W2114359699,,W2114359699,,,W2114359699,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1598,992.0,openalex,W2125051788,,W2125051788,,,W2125051788,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1599,992.0,openalex,W2147210883,,W2147210883,,,W2147210883,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1600,992.0,openalex,W2154800833,,W2154800833,,,W2154800833,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1601,992.0,openalex,W2160561498,,W2160561498,,,W2160561498,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1602,992.0,openalex,W2190904971,,W2190904971,,,W2190904971,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1603,992.0,openalex,W2215870210,,W2215870210,,,W2215870210,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1604,992.0,openalex,W2216261869,,W2216261869,,,W2216261869,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1605,992.0,openalex,W2225686947,,W2225686947,,,W2225686947,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
