paper_id,priority_score,reasons,in_top_n,has_any_section,has_primary_section,eligible_pdf,last_attempt_outcome,last_attempt_ts,retry_class,retry_priority,access_strategy,publication_year,title,source_url,doi,arxiv_id,openalex_id,s2_paper_id
01KS6JCCAAPFK0ZT00RCYXSTEX,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Extreme Non-Reciprocal Near-Field Thermal Radiation via Floquet Photonics,https://arxiv.org/pdf/2006.12200.pdf,10.1103/PhysRevLett.126.204101,2006.12200,W3035819521,bca85f4983502ed1247b2f6a5b49e977b76e6961
01KS6JCSFTFCAGPG0HJGN9J8WA,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,High-energy soliton fission dynamics in multimode GRIN fiber,https://arxiv.org/pdf/2005.00819.pdf,10.1364/OE.394896,2005.00819,W3022273438,3dd6ed7981250ba5b29541da362df4f98c35c726
01KS6JCT5TS3F04GNYQNP9X22V,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Fabry-Perot Lasers as Enablers for Parallel Reservoir Computing,https://arxiv.org/pdf/2005.14261.pdf,10.1109/JSTQE.2020.3011879,2005.14261,W3031847608,2db6288feef927bbc0d2c05e163da20475a2124c
01KS6JCTYCT3554NTNBKH5FN7S,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Dynamic brain spectrum acquired by a real-time ultra-spectral imaging chip with reconfigurable metasurfaces,https://arxiv.org/pdf/2005.02689.pdf,10.1364/OPTICA.440013,2005.02689,W4220822850,751694264bd43f561e2f47109d36fc494e40a3f0
01KS6JCV9160GP3NSMQ4ERWK8C,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Orientation-Controlled Construction of Superstructures of Atomically-Flat Nanocrystals: Pushing the Limits of Ultra-Thin Colloidal Gain Media,https://arxiv.org/pdf/2005.10724.pdf,10.1021/acs.nanolett.0c02153,2005.10724,W3026555049,10bfded2bec9b9824de963de9de84c04c63f49c2
01KS6JCVS2SYTH535RBMCA6E7P,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Integrated microwave acousto-optic frequency shifter on thin-film lithium niobate,https://arxiv.org/pdf/2005.03794.pdf,10.1364/OE.397138,2005.03794,W3044214793,9d79848a3b8aa8e452e74e4136c4c72bd88d1a79
01KS6JCVZGVM8K5FRQNJGCMH4R,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Thresholdless excitation of edge plasmons by transverse current,https://arxiv.org/pdf/2005.04071.pdf,10.1103/PhysRevB.102.121402,2005.04071,W3021464645,4e91a7338ba01f0741293d2f9144db1fb20ba4f1
01KS6JCW3KA93AXPSAPJYWN1VP,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Femtosecond-laser-induced nanoscale blisters in polyimide thin films through nonlinear absorption,https://arxiv.org/pdf/2005.04263.pdf,10.1103/PhysRevApplied.14.044057,2005.04263,W3020977898,452c70f2d3fe69e7e4ae9e05bf7bcddd0d86c756
01KS6JCX0PR6SW1ZPP4TTCRXV5,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Probes for Ultrasensitive THz Nanoscopy,https://arxiv.org/pdf/2005.05722.pdf,10.1021/acsphotonics.9b00324,2005.05722,W2927506897,627f100116ede1ced178b46de7f9b784587812c0
01KS6JCX1EVEJWWZV63T4QEM6Z,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,"Introducing Coherent MIMO Sensing, a fading-resilient, polarization-independent approach to phase-OTDR",https://arxiv.org/pdf/2005.07135.pdf,10.1364/OE.396460,2005.07135,W3038060987,299bebf612d82dbc424c9a6223510fb5c19b2f87
01KS6JCX65B674BFE2NPSTJZK8,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Laser cooling in a chip-scale platform,https://arxiv.org/pdf/2005.05818.pdf,10.1063/5.0014658,2005.05818,W3025053766,3b842b6915d28bbab9822ae878a146579b0d214b
01KS6JCZ50NASCY3FMGQ25MN3C,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Non-line-of-sight Imaging,https://arxiv.org/pdf/2005.08026.pdf,10.1038/s42254-020-0174-8,2005.08026,W3024020995,f39b400fc16004010d0d3b24fc6a0526157eba72
01KS6JD0HMJF4AW8Y7SWW1R27S,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Reconfigurable electro-optic frequency shifter,https://arxiv.org/pdf/2005.09621.pdf,10.1038/s41586-021-03999-x,2005.09621,W3215189266,f176805c2615423a7720d52a41caca48d9a66714
01KS6JD24WT1K5CMD8CQQ7Q3ZN,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Surface lattice resonance based magneto-plasmonic switch in NiFe patterned nano-structure,https://arxiv.org/pdf/2005.10913.pdf,10.1016/j.jmmm.2020.167387,2005.10913,W3026918387,343df1a5eaeb4b96ef5ecd61bbbfe597a8fbc062
01KS6JD62BAE5YFMM5G88WSJM2,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Plasmonic antenna coupling to hyperbolic phonon-polaritons for sensitive and fast mid-infrared photodetection with graphene,https://arxiv.org/pdf/2006.00358.pdf,10.1038/s41467-020-18544-z,2006.00358,W3042987470,11f6a92f0e1e40dde386a7e2f496bc48df50b03e
